p_id2,start_year,season_days_injured,total_days_injured,season_minutes_played,season_games_played,season_matches_in_squad,total_minutes_played,total_games_played,dob,height_cm,weight_kg,nationality,work_rate,pace,physic,fifa_rating,position,age,cumulative_minutes_played,cumulative_games_played,minutes_per_game_prev_seasons,avg_days_injured_prev_seasons,avg_games_per_season_prev_seasons,bmi,work_rate_numeric,position_numeric,significant_injury_prev_season,cumulative_days_injured,season_days_injured_prev_season
aaronconnolly,2019,13,161,1.312,24,28,2.148,41,28/01/2000,"175,33","75,67",Republic of Ireland,Medium/Low,"72,33","58,00","63,00",Forward,19,,,,,,"24,61362749","2,5",2,,,
aaronconnolly,2020,71,161,836,17,28,2.148,41,28/01/2000,"175,33","75,67",Republic of Ireland,Medium/Low,"72,33","58,00","63,00",Forward,20,1.312,24,"54,67","13,00","24,00","24,61362749","2,5",2,0,161,13
aaroncresswell,2016,95,226,2.247,26,27,13.368,149,15/12/1989,"171,67","66,00",England,High/Medium,"74,33","67,00","75,33",Defender,27,,,,,,"22,39607880","3,5",1,,,
aaroncresswell,2018,87,226,1.680,20,27,13.368,149,15/12/1989,"171,67","66,00",England,High/Medium,"74,33","67,00","75,33",Defender,29,2.247,26,"86,42","95,00","26,00","22,39607880","3,5",1,0,226,95
aaroncresswell,2019,35,226,2.870,31,31,13.368,149,15/12/1989,"171,67","66,00",England,High/Medium,"74,33","67,00","75,33",Defender,30,3.927,46,"85,37","91,00","23,00","22,39607880","3,5",1,0,452,87
aaroncresswell,2020,9,226,3.342,36,36,13.368,149,15/12/1989,"171,67","66,00",England,High/Medium,"74,33","67,00","75,33",Defender,31,6.797,77,"88,27","72,33","25,67","22,39607880","3,5",1,0,678,35
aaronlennon,2017,33,199,1.996,29,29,4.371,72,16/04/1987,"165,00","63,00",England,High/High,"81,80","59,20","75,80",Midfielder,30,,,,,,"23,14049587","4,0",3,,,
aaronlennon,2018,166,199,1.279,16,16,4.371,72,16/04/1987,"165,00","63,00",England,High/High,"81,80","59,20","75,80",Midfielder,31,1.996,29,"68,83","33,00","29,00","23,14049587","4,0",3,0,199,33
aaronmooy,2017,26,130,3.226,36,36,7.942,96,15/09/1990,"173,83","72,83",Australia,Medium/Medium,"65,67","73,50","75,83",Midfielder,27,,,,,,"24,10260983","3,0",3,,,
aaronmooy,2018,89,130,2.467,29,29,7.942,96,15/09/1990,"173,83","72,83",Australia,Medium/Medium,"65,67","73,50","75,83",Midfielder,28,3.226,36,"89,61","26,00","36,00","24,10260983","3,0",3,0,130,26
